id,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
EK718211,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,CCC-,CCC-,CCC-,CCC-,CCC-,CCC-,CCC-,CCC-,C,D,D,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
QZ888409,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B+,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-
AR871586,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,CCC+,CCC+,CCC+,CCC+,CCC+,CCC,CC,C,C,D,D,D,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
JK964020,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,B+,B+,B+,B+,B+,B,B,B,B,B,B,B-,B-,B-,B-,B-,B-,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC,CCC,CCC,CCC,CCC,CCC-,CCC-,CCC-,CCC-,D,D,NR,NR,NR,NR,NR,NR,NR,NR
AP362087,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
EI678335,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB,BB,BB,BB,BB
AR022368,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+,BB+
JK964019,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,BB-,B+,B+,B+,B+,B+,B,B,B,B,B,B,B-,B-,B-,B-,B-,B-,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC+,CCC,CCC,CCC,CCC,CCC,CCC-,CCC-,CCC-,CCC-,D,D,NR,NR,NR,NR,NR,NR,NR,NR
AO658240,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B-,B+,B+,B+,BB-,BB-,BB
AV137092,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,B-,B-,B-,B-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
