Dates,USGG12M Index,USGG2YR Index,USGG3YR Index,USGG5YR Index,USGG7YR Index,USGG10YR Index,USGG30YR Index
12/31/2014,0.2132,0.6645,1.0701,1.6528,1.9712,2.1712,2.7518
1/1/2015,0.2132,0.6645,1.0701,1.6528,1.9712,2.1712,2.7518
1/2/2015,0.2183,0.6647,1.0567,1.607,1.9138,2.1105,2.688
1/5/2015,0.2132,0.6568,1.0378,1.5645,1.8448,2.032,2.5987
1/6/2015,0.2031,0.625,0.9837,1.478,1.7572,1.9402,2.5023
1/7/2015,0.2438,0.6091,0.9729,1.4779,1.7736,1.9677,2.5289
1/8/2015,0.2285,0.6051,0.9701,1.4909,1.8065,2.0179,2.5993
1/9/2015,0.1929,0.561,0.9158,1.419,1.7305,1.9449,2.5281
1/12/2015,0.1827,0.5449,0.8859,1.3799,1.6833,1.907,2.4965
1/13/2015,0.1827,0.5388,0.8909,1.3684,1.6714,1.9,2.4992
1/14/2015,0.1624,0.5006,0.838,1.3196,1.6267,1.8553,2.4685
1/15/2015,0.1472,0.4122,0.7114,1.1613,1.4774,1.7149,2.3677
1/16/2015,0.1573,0.4835,0.8219,1.3026,1.6117,1.8368,2.4531
1/19/2015,0.1573,0.4835,0.8219,1.3026,1.6117,1.8368,2.4531
1/20/2015,0.1573,0.4914,0.8298,1.2797,1.5834,1.788,2.3777
1/21/2015,0.1573,0.5074,0.8697,1.3494,1.6653,1.8717,2.4614
1/22/2015,0.1573,0.5174,0.891,1.3639,1.6675,1.8631,2.4385
1/23/2015,0.1472,0.4864,0.851,1.308,1.6011,1.7968,2.3735
1/26/2015,0.1522,0.5107,0.8723,1.3372,1.6339,1.8241,2.3972
1/27/2015,0.1472,0.5105,0.8696,1.3354,1.6266,1.8231,2.3999
1/28/2015,0.1472,0.4654,0.8001,1.2391,1.5256,1.7207,2.2908
1/29/2015,0.1472,0.5158,0.8268,1.2698,1.5558,1.7512,2.3148
1/30/2015,0.137,0.4488,0.7355,1.1548,1.4599,1.6407,2.2222
2/2/2015,0.1421,0.4586,0.7595,1.1789,1.4835,1.6642,2.2503
2/3/2015,0.1675,0.5079,0.8346,1.2889,1.6068,1.7915,2.3792
2/4/2015,0.1929,0.4842,0.7996,1.2484,1.5616,1.7513,2.3481
2/5/2015,0.1929,0.5198,0.848,1.3036,1.6235,1.8204,2.4318
2/6/2015,0.2438,0.6435,1.0106,1.4788,1.7823,1.9567,2.5287
2/9/2015,0.2336,0.6517,1.0324,1.5069,1.8041,1.9775,2.5528
2/10/2015,0.2285,0.6499,1.0217,1.512,1.8139,1.9967,2.5763
2/11/2015,0.2285,0.6642,1.0664,1.5419,1.8456,2.0176,2.5863
2/12/2015,0.2234,0.6242,1.0159,1.4908,1.802,1.9844,2.5755
2/13/2015,0.2183,0.6411,1.0425,1.5377,1.8584,2.0504,2.6478
2/16/2015,0.2183,0.6411,1.0425,1.5377,1.8584,2.0504,2.6478
2/17/2015,0.2183,0.6615,1.0851,1.6059,1.9442,2.1379,2.7268
2/18/2015,0.198,0.597,1.008,1.5181,1.8685,2.08,2.7102
2/19/2015,0.2082,0.6174,1.0426,1.5764,1.92,2.1142,2.7339
2/20/2015,0.2082,0.6321,1.0507,1.5852,1.9205,2.1117,2.7142
2/23/2015,0.2031,0.6017,1.0187,1.5404,1.8667,2.0574,2.6572
2/24/2015,0.1827,0.5529,0.9572,1.4559,1.7815,1.98,2.5918
2/25/2015,0.1827,0.6026,0.9652,1.4527,1.7767,1.9688,2.5698
2/26/2015,0.198,0.6461,1.0214,1.5365,1.8475,2.0295,2.6294
2/27/2015,0.1878,0.6184,0.9973,1.4988,1.8169,1.993,2.5903
3/2/2015,0.1929,0.6621,1.0484,1.5743,1.901,2.082,2.6814
3/3/2015,0.2132,0.6782,1.0727,1.6056,1.9349,2.1189,2.7143
3/4/2015,0.2393,0.6546,1.0458,1.5876,1.9253,2.1172,2.7198
3/5/2015,0.2291,0.6389,1.035,1.5729,1.9132,2.1154,2.7285
3/6/2015,0.2597,0.7234,1.1409,1.6939,2.0397,2.2414,2.8409
3/9/2015,0.2393,0.6917,1.103,1.6493,1.9911,2.1907,2.798
3/10/2015,0.2291,0.6799,1.0705,1.6081,1.9377,2.1297,2.7231
3/11/2015,0.2342,0.6802,1.0956,1.6049,1.9257,2.1086,2.6853
3/12/2015,0.2342,0.6644,1.0797,1.5968,1.9233,2.1156,2.6995
3/13/2015,0.2342,0.657,1.0664,1.5839,1.9162,2.114,2.6987
3/16/2015,0.2393,0.6491,1.0531,1.5526,1.88,2.0717,2.6449
3/17/2015,0.2546,0.6716,1.0665,1.5527,1.8631,2.0507,2.6026
3/18/2015,0.1934,0.5525,0.9097,1.3881,1.714,1.9199,2.5104
3/19/2015,0.2393,0.6092,0.9867,1.467,1.7764,1.9685,2.5291
3/20/2015,0.2138,0.5812,0.9413,1.4144,1.7283,1.9303,2.5059
3/23/2015,0.2138,0.5691,0.9226,1.3897,1.7068,1.912,2.5141
3/24/2015,0.2138,0.557,0.9012,1.3602,1.6732,1.8731,2.4643
3/25/2015,0.2342,0.6023,0.9412,1.4145,1.7259,1.925,2.5074
3/26/2015,0.2546,0.6102,0.9545,1.4579,1.7812,1.9894,2.5798
