12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
BL188182,BL110843,BL095588,BL787561,BL125044,BL049152,BL049152,BL049152,BL078201,BL078201,BL078201,BL078201,BL078201,BL100329,BL231749,BL236984,BL237452,BL238555,BL239077,BL134368
BL172468,BL119025,BL091833,BL781540,BL231026,BL705651,BL705651,BL078201,BL127231,BL132673,BL126708,BL100838,BL100329,BL125044,BL228717,BL240745,BL238574,BL235318,BL238559,BL201089
BL178125,BL116118,BL097957,BL224761,BL231391,BL230896,BL224217,BL096577,BL126708,BL131645,BL132673,BL101755,BL122781,BL171317,BL235596,BL231749,BL238559,BL240639,BL239854,BL244467
BL177676,BL109181,BL099300,BL224161,BL530182,BL224217,BL224235,BL236099,BL132673,BL126064,BL137959,BL125044,BL125044,BL185999,BL234908,BL231646,BL236099,BL239854,BL234906,BL224671
BL172370,BL118169,BL107477,BL201068,BL231470,BL230892,BL118318,BL236101,BL137961,BL126708,BL137961,BL115963,BL101755,BL177244,BL234906,BL235667,BL235667,BL239077,BL240392,BL251616
BL787561,BL109116,BL097468,BL201239,BL201239,BL099828,BL121913,BL239854,BL137959,BL137959,BL136736,BL132673,BL171317,BL180772,BL235079,BL236099,BL235595,BL240392,BL240639,BL251721
BL178149,BL139029,BL097608,BL220450,BL231888,BL118200,BL123733,BL231470,BL121913,BL137961,BL125732,BL126718,BL173772,BL172297,BL236141,BL228717,BL234908,BL240488,BL234871,BL251802
BL177605,BL132673,BL091278,BL225447,BL225728,BL112344,BL117008,BL238122,BL122712,BL136736,BL134368,BL137789,BL173220,BL134368,BL237116,BL235318,BL234906,BL234906,BL234908,BL251813
BL158277,BL139622,BL099078,BL222132,BL225373,BL117389,BL117463,BL231391,BL125732,BL125732,BL125044,BL117463,BL214824,BL173772,BL235318,BL235596,BL238555,BL234908,BL241337,BL252700
BL172183,BL137396,BL101755,BL222206,BL231646,BL115177,BL115963,BL236132,BL118318,BL127231,BL122781,BL122781,BL185999,BL224671,BL238559,BL235595,BL240392,BL236099,BL240380,BL252803
BL172296,BL135295,BL096577,BL215247,BL225748,BL123733,BL117389,BL236283,BL115963,BL118318,BL117463,BL126708,BL166475,BL295461,BL240745,BL238559,BL240488,BL238559,BL238050,BL241337
BL172350,BL135296,BL125732,BL222459,BL232247,BL117008,BL118169,BL235068,BL134368,BL134368,BL117389,BL100557,BL174967,BL243427,BL239854,BL238555,BL235318,BL234871,BL235667,BL243779
BL130220,BL135323,BL114892,BL201076,BL230438,BL101755,BL101755,BL236293,BL136736,BL127514,BL115963,BL137959,BL180772,BL244829,BL238050,BL236141,BL238034,BL240380,BL228717,BL238050
BL177967,BL125991,BL116098,BL219937,BL230309,BL118318,BL100838,BL235684,BL122781,BL129346,BL171139,BL137961,BL172297,BL244847,BL240392,BL234908,BL236141,BL238050,BL235542,BL244046
BL178069,BL130220,BL118169,BL201504,BL230445,BL116463,BL116463,BL237649,BL125044,BL125044,BL166475,BL176024,BL171139,BL214824,BL240488,BL234906,BL240745,BL221885,BL235474,BL244143
