id,loan_type,ticker,cpn,pik_margin,libor_floor,date_issued,maturity,curr,amt_out,covi_lite
BL029150,ASSET-BASED REV,HCA,150,0,#N/A N/A,9/30/2011,6/28/2022,USD,3750000000,N
BL049152,TERM,CZR,525,0,#N/A N/A,3/1/2012,3/1/2017,USD,5469242720,N
BL055917,TERM,ARCH,450,0,125,5/16/2012,5/16/2018,USD,1950000000,Y
BL078201,TERM,ABEGET,350,0,125,10/18/2012,10/18/2019,USD,1954560000,Y
BL083751,TERM,ROYPHA,200,0,#N/A N/A,11/2/2012,8/10/2016,USD,2000000000,N
BL084362,TERM,OCN,375,0,125,2/15/2013,2/15/2018,USD,1300000000,N
BL086576,TERM,SQA,400,0,125,12/19/2012,6/19/2017,USD,1500000000,Y
BL087301,TERM,MGM,300,0,100,12/20/2012,12/20/2017,USD,3995625000,N
BL089318,TERM,ARRS,200,0,#N/A N/A,3/27/2013,3/27/2018,USD,2175000000,N
BL091240,TERM,WIN,275,0,75,1/23/2013,1/23/2020,USD,3919359800,N
BL091278,TERM,TOMKLN,275,0,100,1/18/2013,9/29/2016,USD,1742887582,N
BL091833,TERM,MIK,275,0,100,1/28/2013,1/28/2020,USD,2490000000,Y
BL092245,TERM,PETC,300,0,100,2/4/2013,11/24/2017,USD,1197437500,Y
BL092363,TERM,PPD,325,0,100,1/31/2013,12/5/2018,USD,1780000000,Y
BL092676,TERM,EMS,300,0,100,2/7/2013,5/25/2018,USD,2320000000,Y
BL092761,TERM,BERY,250,0,100,2/8/2013,2/8/2020,USD,4609125000,Y
BL092944,TERM,KRON,350,0,100,2/11/2013,10/30/2019,USD,1795000000,Y
BL093092,ASSET-BASED REV,RAD,#N/A N/A,0,0,2/21/2013,1/13/2020,USD,3700000000,Y
BL093094,TERM,CPN,300,0,100,2/15/2013,4/1/2018,USD,1277000000,Y
BL093267,TERM,ASUCOR,325,0,125,2/21/2013,5/24/2019,USD,5780000000,Y
BL093319,TERM,SGMS,325,0,100,10/18/2013,10/18/2020,USD,4892589286,N
BL093423,TERM,DELL,350,0,100,10/29/2013,4/29/2020,USD,7122220000,Y
BL093424,TERM,DELL,275,0,100,10/29/2013,10/29/2018,USD,6778905000,Y
BL093478,TERM,TDG,300,0,75,2/28/2013,2/28/2020,USD,7013650951,Y
BL093487,TERM,TWCCHO,275,0,75,2/15/2013,2/13/2017,USD,1735625000,N
BL094039,TERM,KHC,225,0,100,6/7/2013,6/7/2019,USD,11500000000,Y
BL094040,TERM,KHC,250,0,100,6/7/2013,6/5/2020,USD,11500000000,Y
BL094048,TERM,VEYANC,400,0,125,3/8/2013,9/8/2017,USD,1200000000,Y
BL094357,TERM,SDSINC,300,0,100,3/8/2013,3/8/2020,USD,3708000000,Y
BL095588,TERM,SUNPRD,425,0,125,3/18/2013,3/18/2020,USD,1155000000,#N/A N/A
BL095780,TERM,CHTR,225,0,75,4/12/2013,7/1/2020,USD,12053000000,N
BL095797,TERM,GDI,325,0,100,7/30/2013,7/30/2020,USD,2700320000,Y
BL096093,TERM,NTY,250,0,100,3/21/2013,10/1/2017,USD,1682500000,Y
BL096577,TERM,WW,300,0,75,4/2/2013,4/2/2020,USD,2450000000,Y
BL096647,TERM,WOWFIN,375,0,100,4/1/2013,4/1/2019,USD,2185000000,N
BL096707,TERM,CAPIAU,325,0,100,4/10/2013,4/10/2019,USD,1700000000,N
BL097468,TERM,ABCSUP,275,0,75,4/16/2013,4/16/2020,USD,1250000000,Y
BL097608,TERM,HTZ,225,0,75,4/8/2013,3/11/2018,USD,2350000000,Y
BL097957,TERM,EM,250,0,125,4/25/2013,11/2/2018,USD,1967930000,N
BL098004,TERM,CEQUEL,275,0,75,4/12/2013,2/14/2019,USD,3278000000,#N/A N/A
BL098312,TERM,CSCHLD,250,0,#N/A N/A,4/17/2013,4/17/2020,USD,4808510000,N
BL098526,TERM,PF,250,0,75,4/29/2013,4/29/2020,USD,2855000000,N
