ticker,date_time,ret,trgt,t1,bin,side,clfW,name,cpn,date_issued,maturity,curr,amt_out,convertible,industry_sector,industry_group,industry_subgroup,callable,call_schedule,ISIN,conId,close,ytm,spread,moody,avg_rating
AL094029,2020-10-05 12:42:03,-0.003097973409060817,0.02462829166475332,2020-10-28 13:59:10,0.0,-1.0,0.5666904786778995,OXY,3.0,2016-11-02 00:00:00,2027-02-15 00:00:00,USD,750000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2026-11-15 100.0,US674599CM50,254150052,77.23,0.07514211205726852,0.005142112057268514,3.0,3.0
AL094029,2020-10-28 13:59:10,-0.08589970501474997,0.02342047961767143,2020-11-10 16:23:18,0.0,-1.0,1.0,OXY,3.0,2016-11-02 00:00:00,2027-02-15 00:00:00,USD,750000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2026-11-15 100.0,US674599CM50,254150052,77.47,0.07499170889854434,0.004991708898544334,3.0,3.0
AL606050,2020-08-24 14:42:53,0.061069814895787555,0.2575049537664821,2020-09-10 16:27:45,1.0,1.0,0.7195249874576461,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,37.7355,0.2677482734187239,0.19774827341872392,5.0,5.0
AL606050,2020-08-28 15:10:26,-0.023414634146341595,0.2337877348505553,2020-09-10 16:27:45,0.0,1.0,0.8279701984473826,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,41.0,0.24800448828673366,0.17800448828673365,5.0,5.0
AL606050,2020-09-03 13:46:42,-0.022789060248812998,0.22091119504169393,2020-09-17 14:45:03,0.0,1.0,0.8552312503648105,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,39.9095,0.25484365881070786,0.18484365881070786,5.0,5.0
AL606050,2020-09-10 16:27:45,-0.05509490509490522,0.20375431921324044,2020-09-30 16:04:40,0.0,1.0,0.8817800368336426,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,40.04,0.25452193026375763,0.18452193026375763,5.0,5.0
AL606050,2020-09-17 14:45:03,-0.029897435897435876,0.18961706186951355,2020-09-30 16:04:40,0.0,1.0,0.9110521449379908,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,39.0,0.26137102245609933,0.19137102245609933,5.0,5.0
AL606050,2020-09-30 16:04:40,0.017603214040281534,0.17567926544512777,2020-10-14 15:49:40,1.0,1.0,0.9448135861173073,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,37.834,0.26974421156899553,0.19974421156899552,5.0,5.0
AL606050,2020-10-14 15:49:40,-0.012389610389610506,0.15930793350503694,2020-10-30 10:39:39,0.0,1.0,0.9739275283178598,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,38.5,0.2664755652320386,0.19647556523203857,5.0,5.0
AL606050,2020-11-17 10:34:27,-0.053609756097561134,0.11969070015942444,2020-11-30 09:21:12,0.0,-1.0,1.0,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,38.802,0.26714375158333775,0.19714375158333775,5.0,5.0
AL606050,2021-02-16 16:41:06,,0.05966854967935409,,,-1.0,,CBL,5.95,2016-12-06 00:00:00,2026-12-15 00:00:00,USD,625000000.0,False,Financial,REITS,REITS-Regional Malls,True,2026-09-15 100.0,US12505JAD54,258015198,39.75,0.2679044359064823,0.19790443590648227,5.0,5.0
AM376508,2020-07-14 15:57:37,-0.059617903017581075,0.024393007046736026,2020-07-28 09:55:22,0.0,-1.0,1.0,MGMGPO,5.625,2017-02-01 00:00:00,2024-05-01 00:00:00,USD,1049802000.0,False,Financial,REITS,REITS-Hotels,True,2024-02-01 100.0,US55303XAC92,267880495,101.25,0.052586488723754876,0.0025864887237548734,4.0,3.5
AM730856,2020-08-12 14:51:00,-0.003204668292916657,0.015600583126751928,2020-09-02 15:01:18,0.0,-1.0,0.5139584933579109,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,104.2,0.04133822011947633,0.021338220119476326,3.0,3.5
